,satisfaction_level,last_evaluation_score,project_count,average_monthly_hours,years_of_working,workplace_acciedent_count,employment_status,promotion_last_5years,department,salary_range,Score_variance
10876,0.53,0.81,3,275,2,0,0,0,technical,low,0.28
10877,0.52,0.98,5,217,2,1,0,0,technical,low,0.45999999999999996
10878,1.0,0.88,6,201,4,0,0,0,technical,low,-0.12
10879,0.73,0.67,4,205,3,0,0,0,technical,low,-0.05999999999999994
10880,0.65,0.67,3,240,2,1,0,0,technical,low,0.020000000000000018
10881,0.5,0.95,5,137,3,0,0,0,technical,low,0.44999999999999996
10882,0.94,0.59,4,241,2,0,0,0,technical,low,-0.35
10883,0.48,0.86,5,198,4,0,0,0,technical,low,0.38
10884,0.67,0.87,5,254,2,0,0,0,support,low,0.19999999999999996
10885,0.73,0.94,4,262,3,0,0,0,support,low,0.20999999999999996
10886,0.63,0.71,4,244,2,0,0,0,support,low,0.07999999999999996
10887,0.84,0.84,4,266,3,0,0,0,support,low,0.0
10888,0.2,0.94,6,191,5,0,0,0,support,low,0.74
10889,0.76,0.57,3,148,3,1,0,0,support,low,-0.19000000000000006
10890,0.55,0.54,3,233,2,0,0,0,support,low,-0.010000000000000009
10891,0.8,0.55,4,178,2,1,0,0,support,low,-0.25
10892,0.64,0.91,3,165,3,1,0,0,support,low,0.27
10894,0.92,0.98,3,149,3,0,0,0,support,medium,0.05999999999999994
10895,0.75,0.76,3,269,2,1,0,0,technical,medium,0.010000000000000009
10896,0.69,0.74,5,227,2,0,0,0,technical,medium,0.050000000000000044
10897,0.82,0.93,3,247,3,0,0,0,technical,medium,0.1100000000000001
10898,0.88,0.85,3,220,3,0,0,0,management,medium,-0.030000000000000027
10899,0.89,0.91,3,233,2,0,0,0,IT,medium,0.020000000000000018
10900,1.0,0.79,5,171,5,0,0,0,IT,medium,-0.20999999999999996
10901,0.66,0.91,4,234,2,1,0,0,IT,medium,0.25
10902,0.76,0.92,3,176,2,0,0,0,IT,medium,0.16000000000000003
10903,0.8,0.62,5,190,4,1,0,0,IT,medium,-0.18000000000000005
10904,0.58,0.86,4,168,2,0,0,0,product_mng,medium,0.28
10905,0.73,0.93,3,205,3,0,0,0,product_mng,high,0.20000000000000007
10906,1.0,0.73,5,189,3,1,0,0,product_mng,low,-0.27
10907,0.18,0.9,4,282,4,0,0,0,product_mng,medium,0.72
10908,0.47,0.46,2,152,2,0,0,0,IT,medium,-0.009999999999999953
10909,0.92,0.64,4,217,4,0,0,0,RandD,medium,-0.28
10910,0.51,0.5,4,130,3,0,0,0,RandD,medium,-0.010000000000000009
10911,0.81,0.62,4,153,4,0,0,0,RandD,low,-0.19000000000000006
10912,0.52,0.57,3,270,3,0,0,0,RandD,low,0.04999999999999993
10913,0.95,0.96,3,220,3,0,0,0,RandD,low,0.010000000000000009
10914,0.93,0.64,4,253,3,0,0,0,RandD,low,-0.29000000000000004
10916,0.79,0.79,4,231,2,0,0,0,sales,low,0.0
10917,0.99,0.73,4,240,4,0,0,0,accounting,low,-0.26
10918,0.64,0.9,5,266,3,0,0,0,support,low,0.26
10919,0.54,0.44,3,153,2,0,0,0,technical,low,-0.10000000000000003
10920,0.79,0.59,4,187,2,0,0,0,management,low,-0.20000000000000007
10921,0.55,0.98,4,185,2,1,0,0,marketing,low,0.42999999999999994
10922,0.18,0.81,4,147,4,0,0,0,marketing,low,0.6300000000000001
10923,0.56,0.81,4,188,3,1,0,0,marketing,low,0.25
10924,0.92,0.67,2,252,2,0,0,0,sales,low,-0.25
10925,0.99,0.75,4,163,2,0,0,0,sales,low,-0.24
10926,0.77,0.85,4,189,2,0,0,0,sales,low,0.07999999999999996
10927,0.49,0.52,3,156,2,0,0,0,sales,low,0.030000000000000027
10928,0.98,0.58,3,183,3,0,0,0,sales,low,-0.4
10929,0.18,0.54,6,209,5,1,0,0,sales,low,0.36000000000000004
10930,0.8,0.82,4,271,4,0,0,0,sales,low,0.019999999999999907
10931,0.81,0.77,5,251,2,0,0,0,sales,low,-0.040000000000000036
10932,0.13,0.61,5,198,5,0,0,0,sales,medium,0.48
10933,0.58,0.97,3,274,4,1,0,1,sales,medium,0.39
10934,0.75,0.63,4,209,3,0,0,1,sales,medium,-0.12
10935,0.8,0.94,4,271,4,0,0,1,sales,medium,0.1399999999999999
10936,0.78,0.6,4,143,2,0,0,1,sales,medium,-0.18000000000000005
10937,0.92,0.6,5,236,3,1,0,1,sales,medium,-0.32000000000000006
10938,0.85,0.98,5,222,3,0,0,1,sales,medium,0.13
10939,0.52,0.63,3,233,3,0,0,1,sales,medium,0.10999999999999999
10940,0.95,0.84,3,270,3,1,0,1,sales,medium,-0.10999999999999999
10941,0.81,0.92,5,258,3,0,0,1,sales,medium,0.10999999999999999
10942,0.16,0.82,6,202,4,1,0,1,sales,medium,0.6599999999999999
10943,0.91,0.74,3,150,2,0,0,0,accounting,medium,-0.17000000000000004
10944,0.62,0.51,4,193,3,0,0,0,accounting,high,-0.10999999999999999
10945,0.24,0.42,5,210,5,0,0,0,accounting,low,0.18
10946,0.88,0.51,3,208,3,0,0,0,hr,medium,-0.37
10947,0.94,0.73,3,196,3,0,0,0,hr,medium,-0.20999999999999996
10948,0.76,0.79,5,187,4,0,0,0,hr,medium,0.030000000000000027
10949,0.49,0.67,3,140,2,0,0,0,hr,medium,0.18000000000000005
10950,0.93,0.9,4,256,4,0,0,0,technical,low,-0.030000000000000027
10951,0.92,0.66,4,113,3,0,0,0,technical,low,-0.26
10952,0.19,0.94,4,196,5,0,0,0,technical,low,0.75
10953,0.66,0.76,3,170,3,0,0,0,technical,low,0.09999999999999998
10955,0.83,0.99,5,132,3,0,0,0,technical,low,0.16000000000000003
10956,0.69,0.53,3,153,3,0,0,0,technical,low,-0.15999999999999992
10957,0.82,0.53,3,147,3,1,0,0,technical,low,-0.2899999999999999
10958,0.88,0.72,5,244,2,0,0,0,technical,low,-0.16000000000000003
10959,0.31,0.42,4,108,4,0,0,0,technical,low,0.10999999999999999
10960,0.83,0.49,4,218,2,0,0,0,technical,low,-0.33999999999999997
10961,0.94,0.52,5,133,3,0,0,0,support,low,-0.41999999999999993
10962,0.65,0.79,5,233,3,0,0,0,support,low,0.14
10963,0.6,0.6,4,147,3,0,0,0,support,low,0.0
10964,0.52,0.43,3,176,3,0,0,0,support,low,-0.09000000000000002
10965,0.66,0.89,4,169,4,0,0,0,support,low,0.22999999999999998
10966,0.87,0.87,4,144,3,0,0,0,support,low,0.0
10967,0.2,0.99,5,151,3,1,0,0,support,low,0.79
10968,0.63,0.91,4,252,3,1,0,0,support,medium,0.28
10969,0.69,0.98,4,180,3,0,0,0,support,medium,0.29000000000000004
10970,0.48,0.61,3,251,3,0,0,0,support,medium,0.13
10971,0.8,0.8,4,263,4,0,0,0,support,medium,0.0
10973,0.67,0.63,3,227,3,0,0,0,technical,medium,-0.040000000000000036
10974,0.37,0.86,6,260,3,0,0,0,technical,medium,0.49
10975,0.93,0.61,5,158,3,0,0,0,management,medium,-0.32000000000000006
10976,0.69,0.52,3,186,3,0,0,0,IT,medium,-0.16999999999999993
10978,0.81,0.55,3,199,2,1,0,0,IT,medium,-0.26
10979,0.97,0.63,5,258,2,0,0,0,IT,medium,-0.33999999999999997
10980,0.77,0.59,4,273,2,0,0,0,IT,high,-0.18000000000000005
10981,0.75,0.78,2,259,3,0,0,0,product_mng,low,0.030000000000000027
10982,0.88,0.82,3,265,3,0,0,0,product_mng,medium,-0.06000000000000005
10983,0.43,0.51,5,168,4,0,0,0,product_mng,medium,0.08000000000000002
10984,0.99,0.99,4,163,4,0,0,0,product_mng,medium,0.0
10985,0.59,0.65,5,265,3,0,0,0,IT,medium,0.06000000000000005
10986,0.89,0.71,4,190,3,0,0,0,RandD,low,-0.18000000000000005
10987,0.54,0.73,3,157,3,0,0,0,RandD,low,0.18999999999999995
10988,0.32,0.86,4,266,4,0,0,0,RandD,low,0.54
10990,0.78,0.55,3,143,3,0,0,0,RandD,low,-0.22999999999999998
10991,0.73,0.68,3,121,5,0,0,0,RandD,low,-0.04999999999999993
10992,0.65,0.76,2,170,5,0,0,0,IT,low,0.10999999999999999
10993,0.8,0.71,4,161,4,0,0,0,IT,low,-0.09000000000000008
10994,0.61,0.86,3,239,3,0,0,0,IT,low,0.25
10995,0.67,0.49,3,224,3,0,0,0,IT,low,-0.18000000000000005
10996,0.63,0.57,3,242,3,0,0,0,product_mng,low,-0.06000000000000005
10997,0.51,0.58,4,140,2,1,0,0,product_mng,low,0.06999999999999995
10998,0.82,0.59,5,170,3,0,0,0,product_mng,low,-0.22999999999999998
10999,0.79,0.67,5,156,2,0,0,0,product_mng,low,-0.12
11000,0.49,0.6,2,113,5,0,0,0,IT,low,0.10999999999999999
11001,0.7,0.59,3,138,3,0,0,0,RandD,low,-0.10999999999999999
11002,0.13,0.5,3,137,5,0,0,0,RandD,low,0.37
11003,0.83,0.52,5,217,3,0,0,0,RandD,low,-0.30999999999999994
11004,0.83,0.91,3,155,3,0,0,0,RandD,low,0.08000000000000007
11005,0.19,0.83,5,280,4,0,0,0,RandD,low,0.6399999999999999
11006,0.8,0.81,5,248,2,1,0,0,RandD,low,0.010000000000000009
11017,0.73,0.88,5,233,4,1,0,0,sales,medium,0.15000000000000002
11018,0.32,0.86,4,214,5,0,0,0,sales,medium,0.54
11019,0.78,0.96,2,285,3,0,0,0,sales,high,0.17999999999999994
11020,0.65,0.91,4,224,2,1,0,0,sales,low,0.26
11021,0.56,0.92,4,224,3,0,0,0,sales,medium,0.36
11022,0.96,0.89,3,142,4,0,0,0,sales,medium,-0.06999999999999995
11023,0.79,0.82,4,220,3,0,0,0,sales,medium,0.029999999999999916
11024,0.66,0.58,4,244,3,0,0,0,sales,medium,-0.08000000000000007
11025,0.67,0.68,4,171,3,0,0,0,sales,low,0.010000000000000009
11026,0.86,0.82,4,274,2,1,0,0,sales,low,-0.040000000000000036
11027,0.57,0.72,4,214,2,1,0,0,sales,low,0.15000000000000002
11028,0.86,0.87,5,171,2,0,0,0,sales,low,0.010000000000000009
11029,0.52,0.59,5,150,2,0,0,0,sales,low,0.06999999999999995
11030,0.73,0.61,4,260,2,1,0,0,sales,low,-0.12
11031,0.78,0.63,5,259,3,0,0,0,sales,low,-0.15000000000000002
11032,0.95,0.63,3,153,2,0,0,0,sales,low,-0.31999999999999995
11033,0.75,0.61,3,263,3,0,0,0,sales,low,-0.14
11034,0.83,0.52,2,149,2,1,0,0,sales,low,-0.30999999999999994
11035,0.48,1.0,4,261,3,0,0,0,accounting,low,0.52
11036,0.3,0.58,2,189,4,1,0,0,accounting,low,0.27999999999999997
11037,0.72,0.85,5,237,4,0,0,0,accounting,low,0.13
11038,0.61,0.52,3,224,3,0,0,0,hr,low,-0.08999999999999997
11039,0.31,0.87,6,240,3,1,0,0,hr,low,0.56
11040,0.62,0.81,3,245,2,1,0,0,hr,low,0.19000000000000006
11041,0.48,0.49,3,268,3,0,0,0,hr,low,0.010000000000000009
11042,0.97,0.89,4,208,2,1,0,0,technical,low,-0.07999999999999996
11043,0.61,0.83,4,153,2,0,0,0,technical,low,0.21999999999999997
11044,0.93,0.99,3,169,3,0,0,0,technical,low,0.05999999999999994
11045,0.89,0.39,5,218,2,0,0,0,technical,low,-0.5
11046,0.95,0.9,3,155,3,0,0,0,technical,medium,-0.04999999999999993
11047,0.36,0.44,5,155,3,0,0,0,technical,medium,0.08000000000000002
11049,0.65,0.83,4,251,2,0,0,0,technical,medium,0.17999999999999994
11050,0.72,0.54,4,219,2,0,0,0,technical,medium,-0.17999999999999994
11051,0.51,0.56,4,198,2,1,0,0,technical,medium,0.050000000000000044
11052,0.54,0.53,4,158,2,0,0,0,technical,medium,-0.010000000000000009
11053,0.66,0.58,3,157,2,0,0,0,support,medium,-0.08000000000000007
11054,0.59,0.54,4,178,2,0,0,0,support,medium,-0.04999999999999993
11055,0.45,0.48,3,145,2,0,0,0,support,medium,0.02999999999999997
11056,0.15,0.91,5,230,3,0,0,0,support,medium,0.76
11057,0.95,0.53,3,174,3,0,0,0,support,medium,-0.41999999999999993
11058,0.49,0.59,5,140,3,0,0,0,support,high,0.09999999999999998
11059,0.68,0.97,3,174,2,0,0,0,support,low,0.2899999999999999
11060,0.7,0.76,4,173,2,0,0,0,support,medium,0.06000000000000005
11061,0.9,0.73,2,203,4,0,0,0,support,medium,-0.17000000000000004
11062,0.94,0.95,5,170,3,0,0,0,support,medium,0.010000000000000009
11063,0.8,0.86,3,203,3,0,0,0,support,medium,0.05999999999999994
11064,0.59,0.53,5,169,3,0,0,0,technical,low,-0.05999999999999994
11066,0.7,0.54,5,263,3,0,0,0,technical,low,-0.15999999999999992
11067,0.51,0.62,4,185,3,0,0,0,management,low,0.10999999999999999
11068,0.12,0.49,4,191,5,0,0,0,IT,low,0.37
11069,0.14,0.56,5,259,4,1,0,0,IT,low,0.42000000000000004
11070,0.86,0.91,4,253,3,0,0,0,IT,low,0.050000000000000044
11071,0.97,0.5,3,216,3,0,0,0,IT,low,-0.47
11072,1.0,0.86,2,264,3,0,0,0,IT,medium,-0.14
11073,0.49,0.63,3,181,3,1,0,0,product_mng,medium,0.14
11074,0.9,0.93,3,209,3,0,0,0,product_mng,medium,0.030000000000000027
11075,0.82,0.89,4,239,2,0,0,0,product_mng,medium,0.07000000000000006
11076,0.59,0.48,3,197,3,0,0,0,product_mng,medium,-0.10999999999999999
11077,0.97,0.57,4,150,2,0,0,0,IT,medium,-0.4
11089,0.72,0.98,4,156,3,0,0,0,product_mng,medium,0.26
11090,0.87,0.52,4,140,3,0,0,0,product_mng,medium,-0.35
11091,0.86,0.82,4,212,2,0,0,0,product_mng,medium,-0.040000000000000036
11092,0.61,0.5,4,269,3,0,0,0,IT,medium,-0.10999999999999999
11093,0.45,0.63,5,111,5,0,0,0,management,medium,0.18
11094,0.51,0.63,4,198,2,0,0,0,management,medium,0.12
11095,0.87,0.92,4,263,3,0,0,0,management,medium,0.050000000000000044
11096,0.29,0.38,5,191,5,0,0,0,management,medium,0.09000000000000002
11097,0.57,0.64,3,188,3,0,0,0,management,medium,0.07000000000000006
11098,0.69,0.83,4,252,3,0,0,0,management,medium,0.14
11099,0.61,0.9,2,142,3,0,0,0,marketing,high,0.29000000000000004
11100,0.96,0.85,4,247,3,0,0,0,sales,high,-0.10999999999999999
11101,0.16,0.61,6,269,2,0,0,0,accounting,high,0.44999999999999996
11102,0.96,0.82,4,244,3,0,0,0,support,high,-0.14
11103,0.77,0.81,4,164,3,0,0,0,technical,high,0.040000000000000036
11104,0.85,0.87,6,232,5,0,0,0,management,high,0.020000000000000018
11105,0.37,0.49,3,177,3,0,0,0,marketing,high,0.12
11106,0.68,0.65,3,173,3,1,0,0,marketing,high,-0.030000000000000027
11107,0.87,0.6,5,165,2,1,0,0,marketing,high,-0.27
11108,0.95,0.8,3,225,2,0,0,0,sales,high,-0.1499999999999999
11109,0.84,0.63,3,121,3,1,0,0,sales,low,-0.20999999999999996
11110,0.44,0.51,2,219,4,0,0,0,sales,low,0.07
11111,0.94,0.73,4,204,2,0,0,0,sales,low,-0.20999999999999996
11112,0.85,0.94,5,235,4,0,0,0,sales,low,0.08999999999999997
11113,0.75,0.51,2,215,2,1,0,0,sales,low,-0.24
11114,0.76,0.67,5,243,3,0,0,0,sales,low,-0.08999999999999997
11116,0.6,0.79,4,262,3,0,0,0,sales,low,0.19000000000000006
11117,0.45,0.55,4,206,2,0,0,0,sales,low,0.10000000000000003
11118,0.49,1.0,2,125,4,1,0,0,sales,low,0.51
11119,0.19,0.36,3,167,5,0,0,0,sales,low,0.16999999999999998
11120,0.68,0.89,5,218,5,0,0,0,sales,low,0.20999999999999996
11121,0.53,0.91,5,181,3,0,0,0,sales,low,0.38
11122,1.0,0.77,5,269,3,0,0,0,sales,low,-0.22999999999999998
11123,0.99,0.86,3,167,2,0,0,0,sales,low,-0.13
11135,0.56,0.48,5,192,2,1,0,0,technical,medium,-0.08000000000000007
11136,0.88,0.91,4,233,4,0,0,0,technical,high,0.030000000000000027
11137,0.63,0.57,4,192,3,0,0,0,technical,high,-0.06000000000000005
11138,0.75,0.93,3,247,2,0,0,0,technical,high,0.18000000000000005
11139,0.74,1.0,4,192,4,0,0,0,technical,high,0.26
11140,0.55,0.68,3,178,3,1,0,0,technical,high,0.13
11141,0.87,0.55,4,197,3,0,0,0,technical,high,-0.31999999999999995
11143,0.33,0.64,2,274,3,1,0,0,technical,high,0.31
11144,0.89,0.97,4,147,2,0,0,0,technical,low,0.07999999999999996
11145,0.56,0.94,3,154,3,1,0,0,support,low,0.3799999999999999
11146,0.95,0.61,3,224,2,1,0,0,support,low,-0.33999999999999997
11147,0.57,0.59,4,250,2,0,0,0,support,low,0.020000000000000018
11148,0.72,0.53,3,179,3,0,0,0,support,low,-0.18999999999999995
11149,0.28,0.44,4,170,2,0,0,0,support,low,0.15999999999999998
11150,0.54,0.61,4,118,5,0,0,0,support,low,0.06999999999999995
11151,0.54,0.95,4,256,3,0,0,0,support,low,0.4099999999999999
11152,0.99,0.8,3,209,2,0,0,0,support,medium,-0.18999999999999995
11153,0.37,0.69,2,146,3,0,0,0,support,medium,0.31999999999999995
11154,0.77,0.87,3,275,4,1,0,0,support,medium,0.09999999999999998
11155,0.7,0.88,4,180,2,0,0,0,support,medium,0.18000000000000005
11156,0.8,0.74,3,228,3,0,0,0,technical,medium,-0.06000000000000005
11157,0.52,0.63,3,204,3,0,0,0,technical,medium,0.10999999999999999
11158,0.69,0.55,3,172,2,0,0,0,technical,medium,-0.1399999999999999
11159,0.6,0.62,5,274,3,0,0,0,management,medium,0.020000000000000018
11160,0.74,0.64,3,136,2,0,0,0,IT,medium,-0.09999999999999998
11161,0.69,0.82,4,252,3,1,0,0,IT,medium,0.13
11162,0.78,0.89,4,137,3,0,0,0,IT,medium,0.10999999999999999
11163,0.77,0.75,4,191,3,0,0,0,IT,medium,-0.020000000000000018
11164,0.91,0.68,4,132,4,0,0,0,IT,medium,-0.22999999999999998
11165,0.54,0.68,6,249,5,0,0,0,product_mng,medium,0.14
11167,0.55,0.96,3,194,3,0,0,0,product_mng,medium,0.4099999999999999
11168,0.17,0.36,6,191,2,0,0,0,product_mng,medium,0.18999999999999997
11169,0.77,0.83,5,216,4,0,0,0,IT,medium,0.05999999999999994
11170,0.93,0.98,3,241,3,0,0,0,IT,medium,0.04999999999999993
11171,0.65,0.91,4,243,5,1,0,0,IT,medium,0.26
11172,0.67,0.52,4,207,3,0,0,0,IT,medium,-0.15000000000000002
11173,0.95,0.88,3,199,3,0,0,0,IT,medium,-0.06999999999999995
11174,0.61,0.97,6,286,4,0,0,0,product_mng,medium,0.36
11175,0.57,0.39,4,132,3,0,0,0,product_mng,high,-0.17999999999999994
11176,0.65,1.0,4,229,4,0,0,0,product_mng,low,0.35
11177,0.85,0.81,4,260,3,0,0,0,product_mng,medium,-0.039999999999999925
11178,0.61,0.96,3,214,2,0,0,0,IT,medium,0.35
11179,0.65,0.9,6,217,4,1,0,1,RandD,medium,0.25
11180,0.92,0.93,4,225,2,0,0,1,RandD,medium,0.010000000000000009
11181,0.37,0.41,2,113,3,0,0,1,RandD,medium,0.03999999999999998
11182,0.48,0.77,5,250,2,0,0,1,RandD,medium,0.29000000000000004
11183,0.82,0.91,5,271,2,0,0,1,RandD,medium,0.09000000000000008
11184,0.84,0.75,4,135,3,0,0,1,RandD,medium,-0.08999999999999997
11186,0.8,0.75,4,224,3,0,0,1,sales,medium,-0.050000000000000044
11187,0.49,0.91,4,134,4,0,0,0,accounting,low,0.42000000000000004
11188,0.79,0.82,5,158,2,0,0,0,support,low,0.029999999999999916
11189,0.48,0.67,3,183,2,0,0,0,technical,low,0.19000000000000006
11191,0.47,0.56,4,226,3,0,0,0,marketing,low,0.09000000000000008
11192,0.91,0.6,4,235,4,1,0,0,marketing,low,-0.31000000000000005
11200,0.69,0.72,4,210,2,1,0,0,sales,high,0.030000000000000027
11201,0.53,0.64,3,143,2,0,0,0,sales,low,0.10999999999999999
11202,0.17,0.57,4,116,3,0,0,0,sales,medium,0.3999999999999999
11203,0.48,0.71,2,162,3,1,0,0,sales,high,0.22999999999999998
11204,0.94,0.51,3,242,3,0,0,0,sales,medium,-0.42999999999999994
11228,0.71,0.64,3,267,3,0,0,0,technical,low,-0.06999999999999995
11233,0.7,0.85,4,142,2,0,0,0,support,low,0.15000000000000002
11234,0.99,0.94,4,167,4,0,0,0,support,low,-0.050000000000000044
11235,0.65,0.62,4,258,2,0,0,0,support,high,-0.030000000000000027
11236,0.92,0.85,3,207,2,0,0,0,support,low,-0.07000000000000006
11237,0.24,0.5,4,282,4,1,0,0,support,low,0.26
11238,0.39,0.89,3,188,5,0,0,0,support,low,0.5
11239,0.82,0.85,3,214,2,0,0,0,support,high,0.030000000000000027
11240,0.78,0.89,4,272,2,0,0,0,support,low,0.10999999999999999
11241,0.62,0.79,3,259,3,0,0,0,support,medium,0.17000000000000004
11242,0.6,0.61,5,191,2,1,0,0,technical,high,0.010000000000000009
11243,0.49,0.57,3,192,3,0,0,0,technical,medium,0.07999999999999996
11244,0.82,0.82,3,164,3,0,0,0,technical,high,0.0
11245,0.48,0.81,4,149,2,0,0,0,management,medium,0.33000000000000007
11246,0.69,0.56,4,149,3,0,0,0,IT,medium,-0.1299999999999999
11247,0.4,0.89,2,165,3,0,0,0,IT,medium,0.49
11248,0.72,0.8,3,222,3,0,0,0,IT,medium,0.08000000000000007
11249,0.75,0.84,5,222,3,1,0,0,IT,medium,0.08999999999999997
11250,0.5,0.77,3,265,3,0,0,0,IT,medium,0.27
11251,0.78,0.5,5,247,4,0,0,0,product_mng,medium,-0.28
11252,0.76,0.45,4,147,2,0,0,0,product_mng,medium,-0.31
11253,0.94,0.52,3,273,3,0,0,0,product_mng,high,-0.41999999999999993
11254,0.24,0.94,6,144,4,0,0,0,product_mng,low,0.7
11255,0.99,0.66,3,181,2,0,0,0,IT,medium,-0.32999999999999996
11256,0.67,0.64,3,198,2,1,0,0,management,medium,-0.030000000000000027
11257,0.76,0.57,5,255,4,0,0,0,management,medium,-0.19000000000000006
11265,0.18,0.75,3,142,2,0,0,0,product_mng,low,0.5700000000000001
11266,0.57,0.67,5,235,2,0,0,0,product_mng,low,0.10000000000000009
11267,0.7,0.62,3,110,3,0,0,0,product_mng,low,-0.07999999999999996
11268,0.49,0.77,3,211,3,0,0,0,IT,high,0.28
11269,0.7,0.56,4,214,3,0,0,1,management,medium,-0.1399999999999999
11293,0.87,0.48,5,170,3,0,0,0,sales,low,-0.39
11298,0.7,0.77,4,245,2,0,0,0,sales,low,0.07000000000000006
11301,0.76,0.99,3,133,4,0,0,0,sales,low,0.22999999999999998
11302,0.66,0.49,4,157,3,0,0,0,sales,low,-0.17000000000000004
11303,0.5,0.95,3,198,4,0,0,0,accounting,low,0.44999999999999996
11304,0.57,0.9,5,145,3,0,0,0,accounting,low,0.33000000000000007
11305,0.97,0.62,6,118,2,0,0,0,accounting,low,-0.35
11306,0.26,0.99,5,184,5,0,0,0,hr,low,0.73
11307,0.72,0.62,3,243,2,1,0,0,hr,low,-0.09999999999999998
11308,0.83,0.93,3,247,2,0,0,0,hr,low,0.10000000000000009
11309,0.55,0.4,3,158,3,0,0,0,hr,low,-0.15000000000000002
11310,0.77,0.74,5,243,2,0,0,0,technical,low,-0.030000000000000027
11311,0.24,0.63,4,203,5,0,0,0,technical,low,0.39
11312,0.8,0.96,3,161,3,0,0,0,technical,low,0.15999999999999992
11313,0.5,0.59,4,214,3,1,0,0,technical,low,0.08999999999999997
11314,0.66,0.59,4,179,3,0,0,0,technical,low,-0.07000000000000006
11315,0.66,0.77,4,188,2,0,0,0,technical,low,0.10999999999999999
11316,0.66,0.81,3,174,3,0,0,0,technical,low,0.15000000000000002
11317,0.96,0.83,3,177,4,0,0,0,technical,low,-0.13
11318,0.75,0.94,5,194,4,0,0,0,technical,low,0.18999999999999995
11319,0.78,0.77,3,244,2,0,0,0,technical,medium,-0.010000000000000009
11320,0.57,0.82,4,269,2,0,0,0,technical,medium,0.25
11321,0.78,0.68,2,159,3,1,0,0,support,medium,-0.09999999999999998
11322,0.57,0.88,4,140,2,0,0,0,support,medium,0.31000000000000005
11323,0.84,0.56,5,224,2,0,0,0,support,medium,-0.2799999999999999
11324,0.23,0.94,5,242,4,0,0,0,support,medium,0.71
11325,0.53,0.37,3,180,3,0,0,0,support,medium,-0.16000000000000003
11326,0.82,0.71,3,150,3,0,0,0,support,medium,-0.10999999999999999
11327,0.59,0.64,5,269,3,0,0,0,support,medium,0.050000000000000044
11328,0.5,0.52,2,178,2,0,0,0,support,medium,0.020000000000000018
11329,1.0,0.74,2,187,3,0,0,0,support,medium,-0.26
11330,0.94,0.61,3,140,2,0,0,0,support,medium,-0.32999999999999996
11331,0.86,0.61,4,193,2,0,0,0,support,high,-0.25
11332,0.73,0.49,4,243,2,0,0,0,technical,low,-0.24
11333,0.49,0.94,3,144,3,1,0,0,technical,medium,0.44999999999999996
11334,0.79,0.73,2,147,2,0,0,0,technical,medium,-0.06000000000000005
11335,0.83,0.5,6,165,3,0,0,0,management,medium,-0.32999999999999996
11336,0.85,0.67,3,176,2,0,0,0,IT,medium,-0.17999999999999994
11338,0.94,0.65,4,213,2,1,0,0,IT,low,-0.2899999999999999
11339,0.76,0.81,4,242,2,0,0,0,IT,low,0.050000000000000044
11340,0.77,0.54,4,139,3,1,0,0,IT,low,-0.22999999999999998
11341,0.77,0.91,4,239,3,1,0,0,product_mng,low,0.14
11342,0.59,0.64,5,123,2,0,0,0,product_mng,low,0.050000000000000044
11343,0.69,0.9,3,185,4,0,0,0,product_mng,low,0.21000000000000008
11344,0.51,0.85,4,186,2,0,0,0,product_mng,low,0.33999999999999997
11345,0.8,0.67,3,178,3,0,0,0,IT,low,-0.13
11352,0.51,0.73,4,229,3,0,0,0,sales,low,0.21999999999999997
11353,0.36,0.73,2,111,2,0,0,0,sales,low,0.37
11354,0.62,0.97,2,271,3,0,0,0,sales,low,0.35
11355,0.98,0.58,4,133,3,0,0,0,sales,low,-0.4
11356,0.53,0.7,4,223,3,0,0,0,sales,low,0.16999999999999993
11357,0.8,0.95,4,272,2,0,0,0,sales,low,0.1499999999999999
11358,0.73,0.77,3,233,3,0,0,0,sales,medium,0.040000000000000036
11359,0.82,0.8,3,162,3,0,0,0,sales,medium,-0.019999999999999907
11360,0.62,0.75,5,165,4,0,0,0,sales,medium,0.13
11361,0.87,0.48,5,242,3,0,0,0,sales,medium,-0.39
11362,0.43,0.65,4,124,2,0,0,0,sales,medium,0.22000000000000003
11363,0.57,0.6,2,163,3,0,0,0,sales,medium,0.030000000000000027
11364,0.91,0.77,3,144,3,0,0,0,sales,medium,-0.14
11365,0.75,0.59,5,149,4,0,0,0,sales,medium,-0.16000000000000003
11366,0.76,0.8,5,217,2,0,0,0,sales,medium,0.040000000000000036
11367,0.85,0.49,4,139,2,0,0,0,sales,medium,-0.36
11368,0.56,0.67,3,270,2,0,0,0,sales,medium,0.10999999999999999
11369,0.86,0.84,3,177,3,0,0,0,sales,medium,-0.020000000000000018
11370,0.21,0.43,5,175,2,1,0,0,sales,high,0.22
11371,0.94,0.59,3,151,2,0,0,0,sales,low,-0.35
11372,0.98,0.74,3,185,3,0,0,0,sales,medium,-0.24
11373,0.42,0.45,3,227,3,0,0,0,sales,medium,0.030000000000000027
11374,0.98,0.89,4,218,2,0,0,0,sales,medium,-0.08999999999999997
11375,1.0,0.93,5,167,3,0,0,0,sales,medium,-0.06999999999999995
11376,0.95,0.52,3,183,2,1,0,0,sales,low,-0.42999999999999994
11377,0.95,0.5,4,259,3,0,0,0,sales,low,-0.44999999999999996
11378,0.68,0.53,3,138,2,1,0,0,sales,low,-0.15000000000000002
